time,open,high,low,close,tick_volume,spread,real_volume
2022.01.03 00:00,2000.00000000,2001.00000000,1999.00000000,2000.50000000,100,200,0
2022.01.03 01:00,2001.00000000,2002.00000000,2000.00000000,2001.50000000,101,200,0
2022.01.03 02:00,2002.00000000,2003.00000000,2001.00000000,2002.50000000,102,200,0
2022.01.03 03:00,2003.00000000,2004.00000000,2002.00000000,2003.50000000,103,200,0
2022.01.03 04:00,2004.00000000,2005.00000000,2003.00000000,2004.50000000,104,200,0
2022.01.03 05:00,2005.00000000,2006.00000000,2004.00000000,2005.50000000,105,200,0
2022.01.03 06:00,2006.00000000,2007.00000000,2005.00000000,2006.50000000,106,200,0
2022.01.03 07:00,2007.00000000,2008.00000000,2006.00000000,2007.50000000,107,200,0
2022.01.03 08:00,2008.00000000,2009.00000000,2007.00000000,2008.50000000,108,200,0
2022.01.03 09:00,2009.00000000,2010.00000000,2008.00000000,2009.50000000,109,200,0
2022.01.03 10:00,2010.00000000,2011.00000000,2009.00000000,2010.50000000,110,200,0
2022.01.03 11:00,2011.00000000,2012.00000000,2010.00000000,2011.50000000,111,200,0
2022.01.03 12:00,2012.00000000,2013.00000000,2011.00000000,2012.50000000,112,200,0
2022.01.03 13:00,2013.00000000,2014.00000000,2012.00000000,2013.50000000,113,200,0
2022.01.03 14:00,2014.00000000,2015.00000000,2013.00000000,2014.50000000,114,200,0
2022.01.03 15:00,2015.00000000,2016.00000000,2014.00000000,2015.50000000,115,200,0
2022.01.03 16:00,2016.00000000,2017.00000000,2015.00000000,2016.50000000,116,200,0
2022.01.03 17:00,2017.00000000,2018.00000000,2016.00000000,2017.50000000,117,200,0
2022.01.03 18:00,2018.00000000,2019.00000000,2017.00000000,2018.50000000,118,200,0
2022.01.03 19:00,2019.00000000,2020.00000000,2018.00000000,2019.50000000,119,200,0
2022.01.03 20:00,2020.00000000,2021.00000000,2019.00000000,2020.50000000,120,200,0
2022.01.03 21:00,2021.00000000,2022.00000000,2020.00000000,2021.50000000,121,200,0
2022.01.03 22:00,2022.00000000,2023.00000000,2021.00000000,2022.50000000,122,200,0
2022.01.03 23:00,2023.00000000,2024.00000000,2022.00000000,2023.50000000,123,200,0
2022.01.04 00:00,2024.00000000,2025.00000000,2023.00000000,2024.50000000,124,200,0
