time,open,high,low,close,tick_volume,spread,real_volume
2021.09.21 12:18,1768.57700000,1769.11300000,1767.94500000,1768.77700000,181,200,0
2021.09.21 12:19,1768.67700000,1769.21300000,1768.04500000,1768.87700000,182,200,0
2021.09.21 12:20,1768.77700000,1769.31300000,1768.14500000,1768.97700000,183,200,0
2021.09.21 12:21,1768.87700000,1769.41300000,1768.24500000,1769.07700000,184,200,0
2021.09.21 12:22,1768.97700000,1769.51300000,1768.34500000,1769.17700000,185,200,0
2021.09.21 12:23,1769.07700000,1769.61300000,1768.44500000,1769.27700000,186,200,0
2021.09.21 12:24,1769.17700000,1769.71300000,1768.54500000,1769.37700000,187,200,0
2021.09.21 12:25,1769.27700000,1769.81300000,1768.64500000,1769.47700000,188,200,0
2021.09.21 12:26,1769.37700000,1769.91300000,1768.74500000,1769.57700000,189,200,0
2021.09.21 12:27,1769.47700000,1770.01300000,1768.84500000,1769.67700000,190,200,0
